Time(s): 265 Message:roboRIO LOGGER INITIALIZED AT: 265
   12.04	    0.00	    0.00	    2.13	    0.13   12.00	    0.00
   12.05	    0.00	    0.00	    2.13	    0.13   12.00	    0.00
   12.06	    0.00	    0.00	    2.13	    0.13   12.00	    0.00
   12.08	    0.00	    0.00	    2.13	    0.00   12.00	    0.00
   12.05	    0.00	    0.00	    1.88	    0.00   12.00	    0.00
   12.05	    0.00	    0.00	    1.88	    0.00   12.00	    0.00
   12.07	    0.00	    0.00	    1.88	    0.13   12.00	    0.00
   12.05	    0.00	    0.00	    1.88	    0.13   12.00	    0.00
   12.06	    0.00	    0.00	    1.88	    0.13   12.00	    0.00
    9.47	    0.00	    0.00	    1.88	   12.00   12.00	   12.10
    9.54	    0.00	    0.00	    0.88	   38.63   12.00	    9.55
    9.43	    0.00	    0.00	    0.00	   67.63   12.00	    9.55
    9.41	    0.00	    0.00	    0.00	   67.63   12.00	    9.55
    9.33	    0.00	    0.00	    0.00	   90.13   12.00	    9.55
    9.36	    0.00	    0.00	    0.00	   90.13    9.40	    9.55
    9.36	    0.00	    0.00	    0.00	   90.13    9.40	    9.55
    9.28	    0.00	    0.00	    0.13	   90.13    9.40	    9.55
    9.28	    0.00	    0.00	    0.50	   90.13    9.40	    7.90
    9.24	    0.00	    0.00	    0.88	   90.13    9.40	    7.90
    9.33	    0.00	    0.00	    0.88	   90.13    9.40	    7.90
    9.36	    0.00	    0.00	    1.25	   90.00    9.40	    7.90
    9.38	    0.00	    0.00	    1.50	   90.00    9.30	    7.90
    9.35	    0.00	    0.00	    1.25	   90.00    9.30	    7.90
    9.33	    0.00	    0.00	    1.25	   90.00    9.30	    7.90
    9.50	    0.00	    0.00	    1.25	   90.00    9.30	    8.05
    9.29	    0.00	    0.00	    1.25	   90.00    9.30	    8.05
    9.39	    0.00	    0.00	    1.63	   90.00    9.30	    8.05
    9.36	    0.00	    0.00	    1.63	   90.00    9.30	    8.05
    9.39	    0.00	    0.00	    1.75	   90.00    9.40	    8.05
    9.48	    0.00	    0.00	    1.88	   90.00    9.40	    8.05
    9.32	    0.00	    0.00	    1.88	   89.75    9.40	    8.05
    9.49	    0.00	    0.00	    2.13	   89.75    9.40	    8.10
    9.55	    0.00	    0.00	    1.88	   89.75    9.40	    8.10
    9.49	    0.00	    0.00	    2.13	   89.88    9.40	    8.10
    9.50	    0.00	    0.00	    1.88	   89.88    9.40	    8.10
    9.46	    0.00	    0.00	    1.88	   89.88    9.45	    8.10
    9.44	    0.00	    0.00	    2.13	   89.75    9.45	    8.10
    9.58	    0.00	    0.00	    1.75	   89.75    9.45	    8.10
    9.48	    0.00	    0.00	    1.75	   89.75    9.45	    8.25
    9.53	    0.00	    0.00	    1.88	   89.75    9.45	    8.25
    9.51	    0.00	    0.00	    2.25	   89.75    9.45	    8.25
    9.57	    0.00	    0.00	    2.25	   89.75    9.45	    8.25
    9.55	    0.00	    0.00	    2.50	   89.75    9.50	    8.25
    9.56	    0.00	    0.00	    2.63	   89.50    9.50	    8.25
    9.52	    0.00	    0.00	    2.50	   89.50    9.50	    8.25
    9.61	    0.00	    0.00	    2.25	   89.50    9.50	    8.35
    9.64	    0.00	    0.00	    2.25	   89.38    9.50	    8.35
    9.61	    0.00	    0.00	    1.88	   89.50    9.50	    8.35
    9.66	    0.00	    0.00	    2.13	   89.50    9.50	    8.35
    9.65	    0.00	    0.00	    2.25	   89.50    9.55	    8.35
    9.58	    0.00	    0.00	    2.13	   89.38    9.55	    8.35
    9.62	    0.00	    0.00	    2.13	   89.38    9.55	    8.35
    9.57	    0.00	    0.00	    2.13	   89.13    9.55	    8.45
    9.65	    0.00	    0.00	    1.88	   89.13    9.55	    8.45
    9.60	    0.00	    0.00	    2.25	   89.13    9.55	    8.45
    9.61	    0.00	    0.00	    2.13	   89.13    9.55	    8.45
    9.66	    0.00	    0.00	    2.13	   89.13    9.55	    8.45
    9.66	    0.00	    0.00	    2.25	   89.25    9.60	    8.45
    9.70	    0.00	    0.00	    2.13	   89.25    9.60	    8.45
    9.76	    0.00	    0.00	    1.75	   89.25    9.60	    8.50
    9.73	    0.00	    0.00	    1.88	   89.00    9.60	    8.50
    9.73	    0.00	    0.00	    2.13	   88.63    9.60	    8.50
    9.66	    0.00	    0.00	    2.13	   88.63    9.60	    8.50
    9.78	    0.00	    0.00	    2.13	   88.63    9.70	    8.50
    9.72	    0.00	    0.00	    2.38	   88.63    9.70	    8.50
    9.70	    0.00	    0.00	    2.25	   88.63    9.70	    8.50
    9.71	    0.00	    0.00	    2.63	   88.63    9.70	    8.55
   11.31	    0.00	    0.00	    3.00	   88.25    9.70	    8.55
   11.54	    0.00	    0.00	    7.00	   88.25    9.70	    8.55
   11.61	    0.00	    0.00	    7.00	   88.25    9.70	    8.55
   11.72	    0.00	    0.00	    9.00	   88.25   11.45	    8.55
   11.76	    0.00	    0.00	   10.00	   88.25   11.45	    8.55
   11.83	    0.00	    0.00	    8.63	   88.25   11.45	    8.55
   11.85	    0.00	    0.00	    8.63	   88.25   11.45	    8.55
   11.90	    0.00	    0.00	    6.63	   88.25   11.45	    8.55
   11.83	    0.00	    0.00	    4.63	   88.25   11.45	    8.55
   11.86	    0.00	    0.00	    3.50	   88.25   11.45	    8.55
   11.90	    0.00	    0.00	    3.13	   88.25   11.80	    8.55
   11.89	    0.00	    0.00	    3.00	   88.25   11.80	    8.55
   11.86	    0.00	    0.00	    3.00	   88.25   11.80	    8.55
   11.90	    0.00	    0.00	    2.88	   88.25   11.80	    8.55
   11.90	    0.00	    0.00	    2.63	   88.25   11.80	    8.55
   11.95	    0.00	    0.00	    2.50	   88.25   11.80	    8.55
   11.95	    0.00	    0.00	    2.63	   88.25   11.80	    8.55
   11.91	    0.00	    0.00	    2.63	   88.25   11.90	    8.55
   11.91	    0.00	    0.00	    2.50	   88.25   11.90	    8.55
   11.90	    0.00	    0.00	    2.63	   88.25   11.90	    8.55
   11.93	    0.00	    0.00	    2.38	   88.25   11.90	    8.55
   11.93	    0.00	    0.00	    2.63	   88.25   11.90	    8.55
   11.93	    0.00	    0.00	    2.50	   88.25   11.90	    8.55
   11.99	    0.00	    0.00	    2.63	   88.25   11.90	    8.55
   11.95	    0.00	    0.00	    2.63	   88.25   11.90	    8.55
   11.91	    0.00	    0.00	    2.63	   88.25   11.90	    8.55
   11.95	    0.00	    0.00	    2.63	   88.25   11.90	    8.55
   11.95	    0.00	    0.00	    2.63	   88.25   11.90	    8.55
   11.97	    0.00	    0.00	    2.50	   88.25   11.90	    8.55
   11.92	    0.00	    0.00	    2.38	   88.25   11.90	    8.55
   11.95	    0.00	    0.00	    2.38	   88.25   11.90	    8.55
   11.96	    0.00	    0.00	    2.25	   88.25   11.95	    8.55
   11.98	    0.00	    0.00	    2.38	   88.25   11.95	    8.55
   11.96	    0.00	    0.00	    2.38	   88.25   11.95	    8.55
   11.97	    0.00	    0.00	    2.38	   88.25   11.95	    8.55
   11.95	    0.00	    0.00	    2.25	   88.25   11.95	    8.55
   11.97	    0.00	    0.00	    2.38	   88.25   11.95	    8.55
   11.95	    0.00	    0.00	    2.50	   88.25   11.95	    8.55
   11.96	    0.00	    0.00	    2.50	   88.25   11.95	    8.55
   11.97	    0.00	    0.00	    2.50	   88.25   11.95	    8.55
   12.00	    0.00	    0.00	    2.50	   88.25   11.95	    8.55
   11.98	    0.00	    0.00	    2.38	   88.25   11.95	    8.55
   11.95	    0.00	    0.00	    2.38	   88.25   11.95	    8.55
   11.99	    0.00	    0.00	    2.38	   88.25   11.95	    8.55
   12.02	    0.00	    0.00	    2.38	   88.25   11.95	    8.55
   11.98	    0.00	    0.00	    2.38	   88.25   11.95	    8.55
   12.01	    0.00	    0.00	    2.38	   88.25   11.95	    8.55
   11.97	    0.00	    0.00	    2.63	   88.25   11.95	    8.55
   11.98	    0.00	    0.00	    2.50	   88.25   11.95	    8.55
   12.00	    0.00	    0.00	    2.50	   88.25   11.95	    8.55
   11.96	    0.00	    0.00	    2.38	   88.25   11.95	    8.55
   11.95	    0.00	    0.00	    2.25	   88.25   11.95	    8.55
   12.00	    0.00	    0.00	    2.25	   88.25   11.95	    8.55
   11.95	    0.00	    0.00	    2.25	   88.25   11.95	    8.55
   11.96	    0.00	    0.00	    2.38	   88.25   11.95	    8.55
   12.03	    0.00	    0.00	    2.50	   88.25   11.95	    8.55
   11.96	    0.00	    0.00	    2.63	   88.25   11.95	    8.55
   11.98	    0.00	    0.00	    2.63	   88.25   11.95	    8.55
   12.00	    0.00	    0.00	    2.50	   88.25   11.95	    8.55
